产品型号,库存,上月库存,环比,3个月以内数量,半年内数量,6个月至一年数量,一年至两年数量,两年以上数量,超1年,超1年%,超6月
U50,7664,7268,396,3678,718,3268,0,0,0,0.0,3268
U3,6051,6330,-279,1498,451,2877,731,494,1225,20.2,4102
X100,5215,5511,-296,603,2157,2448,7,0,7,0.1,2455
U20,4305,4432,-127,2979,619,274,380,53,433,10.1,707
U40,3720,3632,88,1425,1766,529,0,0,0,0.0,529
G40,3023,3296,-273,206,645,819,1222,131,1353,44.8,2172
X200,2961,3051,-90,1235,1424,302,0,0,0,0.0,302
T10,1593,1593,0,13,19,266,1215,80,1295,81.3,1561
U3X,1468,1768,-300,174,478,603,153,60,213,14.5,816
C4,1303,1339,-36,1303,0,0,0,0,0,0.0,0
X110,624,708,-84,0,406,218,0,0,0,0.0,218
G4S,338,338,0,0,0,29,0,309,309,91.4,338
X103,321,357,-36,119,1,124,48,29,77,24.0,201
G50max,308,288,20,308,0,0,0,0,0,0.0,0
G3,244,244,0,0,0,42,0,202,202,82.8,244
SIMBOX2,235,242,-7,0,2,233,0,0,0,0.0,233
R40,179,179,0,0,0,0,0,179,179,100.0,179
U3B,153,153,0,0,0,27,2,124,126,82.4,153
U30,90,90,0,1,1,23,34,31,65,72.2,88
U2S,84,84,0,0,0,0,0,84,84,100.0,84
R4P,8,8,0,0,0,8,0,0,0,0.0,8
U5,2,2,0,0,0,0,0,2,2,100.0,2
